stamp_ns,x,y,z,qx,qy,qz,qw
1790244976262057304,0.0014345526613600023,-0.0007106979088441456,-0.0013889018654154436,0.008774262322446253,-0.0050262877251361126,9.667218747689935e-05,0.9999488683962222
1790244976362067222,0.07170578013328595,-0.006500300004903873,0.033435088913178715,0.008651998318820015,-0.005411284541356589,0.014937092609099745,0.999836358705303
1790244976462067127,0.10189283159295909,0.003252694415497419,0.03302551076755977,0.008673459755622503,-0.0053337329184351,0.0249608649041728,0.9996365727664436
1790244976562062263,0.13727593432470525,0.009154358036669695,0.016018374450632547,0.00834809383115599,-0.0053788635348315985,0.03505104355955565,0.9993361804226976
1790244976662062168,0.17672093610618542,0.007961516294861382,-0.014371506160137115,0.008478337251002326,-0.005502364433273639,0.04541647743479275,0.9989170062425072
1790244976762067317,0.2197248620476287,0.015166588798539405,-0.044725503589922125,0.008688434621101427,-0.005598451373043039,0.0550537316870718,0.9984298949217024
1790244976862072229,0.2578728021543304,0.01887522705603688,-0.062308062477163285,0.008365082419620626,-0.005694423121374552,0.06531466012628181,0.9978134064613424
1790244976962067127,0.29943331584931904,0.028906120420704524,-0.06127747225077102,0.008369322556407759,-0.00583037094672091,0.0749593192653284,0.9971344250750837
1790244977062067270,0.33511001916498107,0.03349365231500069,-0.04107989609942051,0.00834371951194374,-0.0058086856263709985,0.0851802817514471,0.9963136861032814
1790244977162067174,0.3744288916162362,0.04179103993164575,-0.010429981134587419,0.008362410146895106,-0.005945356554345869,0.09511582821442474,0.9954133322670653
1790244977262067317,0.41466882342199346,0.05130906573176775,0.01864614364186921,0.00820731030280848,-0.006193647073179028,0.1045547214062662,0.9944659818340406
1790244977362062215,0.4467698532852813,0.05515196827869074,0.037251090645623056,0.008239616883039452,-0.006102579540229559,0.11488757270315504,0.9933255825130578
1790244977462062120,0.48732066001821983,0.06405400842218352,0.036768026118264796,0.008071205110762748,-0.006261762131465936,0.12514386866397997,0.9920860134680035
1790244977562057256,0.5315599744910441,0.07714032522628686,0.02070147386822162,0.00789802206445574,-0.006419354309455579,0.13463264234949837,0.9908433098889361
1790244977662057161,0.5682200724556752,0.08957583156342198,-0.00868191282352888,0.007927361663322327,-0.00655981206882089,0.1445049284188343,0.9894505806078918
1790244977762067317,0.6061980014857974,0.10250222586147342,-0.03835806297975713,0.0077309652015297645,-0.0064732272099260095,0.15450879318320565,0.987939958871769
1790244977862067222,0.642724631280808,0.11337050421864463,-0.05653863495405247,0.0077163723983758445,-0.006556042259973356,0.16447120604918058,0.9863299135114797
1790244977962057113,0.6798087838061,0.12221106448731853,-0.05580123558150367,0.007701680168592821,-0.006512770956487891,0.17435916081360764,0.9846304641729081
