stamp_ns,header_stamp_ns,points
1790244990862072229,1790244990862072229,1596
1790244990962062120,1790244990962062120,1644
1790244991062067270,1790244991062067270,1529
1790244991162072181,1790244991162072181,1566
1790244991262072324,1790244991262072324,1607
1790244991362057209,1790244991362057209,1546
1790244991462072134,1790244991462072134,1572
1790244991562067270,1790244991562067270,1566
1790244991662072181,1790244991662072181,1634
1790244991762072324,1790244991762072324,1613
1790244991862062215,1790244991862062215,1532
1790244991962067127,1790244991962067127,1555
1790244992062062263,1790244992062062263,1553
1790244992162067174,1790244992162067174,1619
1790244992262067317,1790244992262067317,1632
1790244992362062215,1790244992362062215,1595
1790244992462062120,1790244992462062120,1582
1790244992562067270,1790244992562067270,1555
1790244992662072181,1790244992662072181,1658
1790244992762057304,1790244992762057304,1634
1790244992862057209,1790244992862057209,1580
1790244992962067127,1790244992962067127,1597
1790244993062072277,1790244993062072277,1551
1790244993162072181,1790244993162072181,1650
1790244993262072324,1790244993262072324,1663
1790244993362057209,1790244993362057209,1612
1790244993462062120,1790244993462062120,1564
1790244993562057256,1790244993562057256,1612
1790244993662072181,1790244993662072181,1668
1790244993762062311,1790244993762062311,1679
1790244993862057209,1790244993862057209,1565
1790244993962057113,1790244993962057113,1569
1790244994062057256,1790244994062057256,1611
1790244994162072181,1790244994162072181,1668
1790244994262072324,1790244994262072324,1669
1790244994362072229,1790244994362072229,1594
1790244994462057113,1790244994462057113,1638
1790244994562062263,1790244994562062263,1625
1790244994662072181,1790244994662072181,1670
1790244994762057304,1790244994762057304,1670
1790244994862067222,1790244994862067222,1614
1790244994962057113,1790244994962057113,1609
1790244995062057256,1790244995062057256,1616
1790244995162062168,1790244995162062168,1689
1790244995262062311,1790244995262062311,1687
