stamp_ns,header_stamp_ns,x,y,z,qx,qy,qz,qw
1790245350076535817,1790244976362067222,0.047658100578313344,-0.004102745620113657,0.025079561746628277,0.008763494880214903,-0.005183724709791946,0.01494251048339749,0.9998365124039363
1790245350180295899,1790244976462067127,0.09155841583407769,0.0032121693640703615,0.030923616207692982,0.008765840918124185,-0.005262112323947815,0.024812112591134895,0.9996398497837323
1790245350282611762,1790244976562062263,0.13409852188883775,0.007769117863349908,0.014717898908858117,0.008344515510127153,-0.005134288904642925,0.03493501104600247,0.9993415597990232
1790245350382257458,1790244976662062168,0.175946302821519,0.007527555121572688,-0.013992047651880685,0.008533842581774868,-0.00550503936834178,0.04533087669743194,0.9989204070846526
1790245350479625065,1790244976762067317,0.21859728944510443,0.013411435521536128,-0.04491086561432439,0.008679754868178395,-0.005585353578601091,0.054971081151110886,0.9984345977167889
1790245350582425118,1790244976862072229,0.2581671690039206,0.019001436188401766,-0.06293235731144392,0.008363271736675204,-0.005743108508848117,0.06516348765963517,0.9978230265265081
1790245350678651769,1790244976962067127,0.2994146803906615,0.026696444008259147,-0.06190834444481701,0.008351101233803903,-0.005872743179766996,0.07483182488972302,0.9971439053513642
1790245350779557102,1790244977062067270,0.33274682087028984,0.031094090651128815,-0.04129599747980059,0.0083729703590301,-0.005734371901438242,0.08512294837045516,0.996318771281034
1790245350881195582,1790244977162067174,0.3746808881400921,0.040976323079888945,-0.011060758507017855,0.008326819578588652,-0.005956714121680975,0.0950853829235495,0.9954164714263167
1790245350981328948,1790244977262067317,0.41385991162630387,0.05063941330841593,0.018909562201139152,0.008184287204312727,-0.006220076305987597,0.10453045685331411,0.9944685574133021
1790245351079381713,1790244977362062215,0.44689940339296486,0.05448452415838337,0.03718934051833304,0.00824730437888511,-0.006080250672308583,0.11478386110581136,0.9933376453914525
1790245351182205640,1790244977462062120,0.48564683895967015,0.06299540472978388,0.03556256373645806,0.008099316949726184,-0.006226155718669298,0.12498209698492947,0.9921064012912658
1790245351283127940,1790244977562057256,0.5300731587765828,0.07567355021474213,0.01971010086699897,0.00797632362784282,-0.006331910635633139,0.13465154752590455,0.9908406763541276
1790245351380714522,1790244977662057161,0.5667366853991602,0.08913997052634286,-0.008822985061062475,0.007969837779878974,-0.006535704084603845,0.1445080881622804,0.9894499374468114
1790245351479043436,1790244977762067317,0.6066615386986006,0.10147880275052087,-0.038994764033972666,0.007739172546905807,-0.006429883013422505,0.15447071551337763,0.9879461320646175
1790245351581587880,1790244977862067222,0.6435226265326982,0.11162516702417942,-0.0572746424891795,0.007662347800874904,-0.006531044806606841,0.1643368829532938,0.9863528895790983
1790245351681291868,1790244977962057113,0.6786842537740473,0.12236878523346065,-0.0559021092739215,0.007743734328743383,-0.0065165996422866185,0.17439649289941914,0.9846234974710171
1790245351779900497,1790244978062067270,0.7208025474285483,0.13639190780809446,-0.03657350331459228,0.007697238056726582,-0.006713084087769032,0.1838123843086913,0.9829082838205233
1790245351881544112,1790244978162067174,0.7525929557534076,0.15326141019596587,-0.005379263380258814,0.0077088914422629405,-0.006666232261900252,0.19389999234402083,0.9809683620326745
1790245351979775162,1790244978262072324,0.7888913871318848,0.16879360837325094,0.024855325420296833,0.007548514874801121,-0.006854010049437701,0.20366069214888458,0.9789884396369417
1790245352081119833,1790244978362067222,0.8239126023696417,0.1812801314570206,0.042763965928664154,0.007480327020342448,-0.006949152056758862,0.2131391603180491,0.9769685011975471
1790245352182208460,1790244978462072134,0.8573253966630754,0.20467428725597966,0.042860850185348014,0.007429964063538519,-0.006993725892490812,0.2231493157791797,0.9747308686500795
1790245352281517050,1790244978562057256,0.8952725626330076,0.2177045481178745,0.025787311175649485,0.007337204910446259,-0.007113522083518044,0.23298737165864417,0.9724260629349479
